"","contribution_intercept","contribution_p_var_3","contribution_p_var_2","contribution_fractal_dimension","contribution_p_var_4","contribution_p_var_5","contribution_alpha","contribution_mean_gaussianity","contribution_mean_squared_displacement_ratio","contribution_vac_lag_1","contribution_p_var_1","contribution_straightness","contribution_max_excursion_normalised","contribution_alpha_n_3","contribution_alpha_n_2","contribution_alpha_n_1","contribution_D","contribution_p-variation","contribution_","variable_value_intercept","variable_value_p_var_3","variable_value_p_var_2","variable_value_fractal_dimension","variable_value_p_var_4","variable_value_p_var_5","variable_value_alpha","variable_value_mean_gaussianity","variable_value_mean_squared_displacement_ratio","variable_value_vac_lag_1","variable_value_p_var_1","variable_value_straightness","variable_value_max_excursion_normalised","variable_value_alpha_n_3","variable_value_alpha_n_2","variable_value_alpha_n_1","variable_value_D","variable_value_p-variation","variable_value_","predicted_class","real_class"
"1",0.1960149943128,0.00215065812406567,-0.0214572156155544,0.0150100843665612,0.0202889198469906,0.0118682361919494,0.0671712802143787,0.110085970685537,-0.0550460951013397,0.0601750795231047,0.373673722699566,-0.0283224867312797,0.00748255612957016,-0.0282044445372609,0.0974182864138428,-0.0790692941024557,0.0542863482013425,-0.00854636219629124,0.794980238425527,"1","0.5735","0.09399","3.778","0.9908","1.342","0.9876","1.09","-0.001425","0.007118","-0.4371","0.0127","0.9043","0.9997","1.1","0.8343","0.05843","3","",4,0
"2",0.19624297465509,0.116754525593387,-0.00790601500208676,0.0198197814902373,0.0419290998180339,-0.0589448248741675,0.0882707776152318,0.0268556225240305,0.0993515913922728,-0.0233459771945355,0.0309198142545535,0.107950335936974,0.0334146547698283,-0.0140322927267608,0.0611753475609578,0.100790085896275,-0.0440302471902256,0.0930266653616478,0.868241919880743,"1","0.07766","-0.2909","6.334","0.436","0.7813","0.9283","0.4495","0.006949","-0.8655","-0.6592","0.0174","0.2848","0.9456","1.011","1.044","0.6192","3","",4,0
"3",0.205939431687489,-0.0775207573044863,0.0242169140808514,0.0174510836494122,-0.143218047112977,0.042735872635292,0.120465186926741,0.101194037289165,0.0800235966881663,-0.0455129292929666,0.152239833979495,0.0882226599850716,0.0316633929196023,-0.0424415666345653,-0.0482642686042962,0.139139758322301,-0.0281076444090157,-0.0389508471039791,0.579275707701301,"1","-0.09133","-0.3056","3.017","-0.03407","-0.09871","0.7703","0.62","0.02851","-1.269","-0.6316","0.08059","0.3361","0.7604","0.9637","1.088","0.7939","2","",4,0
"4",0.205553554820962,0.0300574847424127,-0.0546070795707215,0.0357892116455447,0.0583877814752408,-0.0920889854700924,0.0934615039720477,0.0903581480306074,0.0661334702801576,0.233144913240254,0.130789825635852,-0.0135621672131072,0.0471287396397992,0.0129205347644312,0.0349335164117835,0.052490178185732,-0.0666043975897306,0.104310583046856,0.96859681604803,"1","0.2176","-0.1684","5.354","0.5885","0.9497","0.9816","0.7721","0.002043","-0.07125","-0.575","0.03844","0.09286","0.9205","0.943","0.9023","0.06799","3","",4,0
"5",0.191952118637192,0.00780873062579793,-0.0248207359116219,0.00540085900835127,-0.0131083232726301,0.0188945837321084,0.0906561204086854,0.111793806320875,0.133088586214994,0.0187136919263822,0.131923691679642,-0.0563466918625235,0.06124979370176,0.0411654148621508,0.00301480529572495,0.0711570836140006,0.140665229563881,0.0160035534493912,0.949212317994162,"1","0.2592","-0.1442","5.974","0.6554","1.048","0.9027","0.2961","0.006558","-0.03614","-0.5617","0.05362","0.1036","0.9864","1.122","0.6982","0.02688","3","",4,0
"6",0.220212016045213,0.0289436731852978,-0.0479197632557942,0.00942107636516221,0.0201834016294168,0.0775827549439984,0.177603924483861,0.0270824544133368,0.116443017089643,0.0463092240601972,0.0530067949681037,-0.0457630802007875,0.0872555922011023,-0.0751020480798025,0.08863074861999,0.0636388159138244,0.00358592352641285,0.0214891166700218,0.872603642579197,"1","0.3791","-0.1074","5.99","0.881","1.393","0.9357","0.3716","0.003895","-0.1347","-0.5724","0.07728","0.1262","0.9238","1.113","1.072","0.5065","3","",4,0
"7",0.206088496560653,-0.0138000439899766,0.0690205346286419,0.0436829238801804,-0.00886421408817728,0.0330754012492491,0.0717290033553933,0.0236910460593606,0.0891657043755902,0.0746453002976428,0.122637946348126,0.0280620966621292,-0.0100228174025334,-0.020073804293951,0.0878474694599279,0.113009975997502,-0.112503210805783,-0.00991444064985991,0.787477367644115,"1","0.3354","-0.153","4.535","0.8414","1.342","0.9413","0.8383","0.006123","-0.04688","-0.603","0.02649","0.3182","0.9268","0.9713","0.7982","0.0528","3","",4,0
"8",0.194122611057291,-0.0171710333103562,-0.0279832280158225,0.0242040645223186,-0.0878789335753204,0.0192769150092008,-0.0592833231712059,0.00662593963914235,0.232772546919624,-0.0031512114025099,0.0982937366235683,-0.020792452678645,0.149151495913515,0.259890244319145,-0.0166879274100361,0.0809026899744648,0.0581065640802969,-0.083341562090783,0.807057136403887,"1","-0.2084","-0.4884","3.75","0.06745","0.3163","0.6329","1.399","0.02001","-1.574","-0.7534","0.03776","0.2056","0.5477","0.5704","0.7387","0.2312","1","",4,0
"9",0.182220859076906,-0.0545988550682234,0.147848327807702,0.0131491035440351,0.0342097249233251,-0.101345167767668,0.0818975567947196,-0.0171495033271752,0.0190301967440582,0.0594288668954661,0.0866978597785261,0.0531941956182849,0.0149835128584435,0.179627490875235,0.0836961217953059,0.064196251016171,-0.0869269761348108,-0.00410165998583867,0.756057905444462,"1","0.159","-0.2117","3.557","0.5194","0.877","0.966","1.431","0.004519","-0.02671","-0.6051","0.01586","0.651","0.9518","0.9951","0.7496","0.02717","3","",4,0
"10",0.20207858735353,-0.0225764184179227,-0.00529609849302509,0.0477777777339235,-0.0417928514351623,0.0237126472933321,0.0345494628969475,0.132252035804992,0.0119881521403981,-0.0390237829721152,0.225524406557864,0.072680867281714,-0.0616188705101832,-0.0958493818505662,0.0417970770604437,0.0131309574116162,-0.100706503388019,0.0773633541243045,0.515991418592071,"1","-0.1748","-0.4324","4.167","0.0656","0.291","0.8164","0.7399","0.02356","-0.3752","-0.7088","0.05073","0.2856","0.919","1.188","0.8308","0.1689","1","",4,0
